2025-08-28 10:45:20.804 [info] Reading sessions from keychain...
2025-08-28 10:52:53.916 [info] Got 0 sessions for ...
2025-08-28 10:52:53.916 [info] Getting sessions for all scopes...
2025-08-28 10:52:53.916 [info] Got 0 sessions for ...
2025-08-28 10:52:53.916 [info] Getting sessions for all scopes...
2025-08-28 10:52:53.916 [info] Got 0 sessions for ...
2025-08-28 10:52:54.466 [info] Getting sessions for all scopes...
2025-08-28 10:52:54.466 [info] Got 0 sessions for ...
2025-08-28 10:52:55.020 [info] Getting sessions for read:user,repo,user:email,workflow...
2025-08-28 10:52:55.020 [info] Got 0 sessions for read:user,repo,user:email,workflow...
2025-08-28 10:52:55.099 [info] Getting sessions for all scopes...
2025-08-28 10:52:55.099 [info] Got 0 sessions for ...
2025-08-28 10:52:55.100 [info] Getting sessions for all scopes...
2025-08-28 10:52:55.100 [info] Got 0 sessions for ...
2025-08-28 10:52:55.100 [info] Getting sessions for all scopes...
2025-08-28 10:52:55.100 [info] Got 0 sessions for ...
